#,id,house_type,house_floor,house_direction,house_area,house_structure,transaction_type,transaction_time,house_decoration,is_elevator,house_year,house_loc,house_position,u_price,t_price,detail_url,green_rate
1,1,5室2厅1厨4卫,中楼层 (共14层),南,335.4,复式,挂牌,2024-08-05,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,99881,3350,https://sh.lianjia.com/ershoufang/107110433275.htm,0.35
2,2,4室3厅2厨5卫,低楼层 (共2层),南,419.15,复式,挂牌,2024-11-29,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83026,3480,https://sh.lianjia.com/ershoufang/107111463298.htm,0.35
3,3,5室2厅1厨4卫,低楼层 (共14层),南,334.34,复式,挂牌,2024-06-17,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83718,2799,https://sh.lianjia.com/ershoufang/107110013824.htm,0.35
4,4,4室2厅1厨4卫,中楼层 (共20层),南,208.12,平层,挂牌,2024-07-31,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,91246,1899,https://sh.lianjia.com/ershoufang/107110380253.htm,0.35
5,5,4室2厅1厨2卫,低楼层 (共14层),南,185.32,平层,挂牌,2024-06-22,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,112670,2088,https://sh.lianjia.com/ershoufang/107110052322.htm,0.35
6,6,2室2厅1厨1卫,低楼层 (共20层),南,91.34,平层,挂牌,2025-01-16,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,93059,850,https://sh.lianjia.com/ershoufang/107111846701.htm,0.35
7,7,4室2厅1厨2卫,低楼层 (共14层),南 北,186.54,平层,挂牌,2024-07-05,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,93814,1750,https://sh.lianjia.com/ershoufang/107110161958.htm,0.35
8,8,5室3厅1厨4卫,低楼层 (共2层),南,587.47,复式,挂牌,2024-07-17,精装,无,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,64685,3800,https://sh.lianjia.com/ershoufang/107110263309.htm,0.35
9,9,5室3厅1厨5卫,低楼层 (共2层),南 北,419.71,复式,挂牌,2024-11-01,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83391,3500,https://sh.lianjia.com/ershoufang/107111220209.htm,0.35
10,10,5室2厅1厨4卫,低楼层 (共2层),南,418.75,复式,挂牌,2024-04-01,精装,无,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83583,3500,https://sh.lianjia.com/ershoufang/107109403762.htm,0.35
11,11,3室2厅1厨2卫,低楼层 (共20层),南,151.72,平层,挂牌,2024-11-04,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,92144,1398,https://sh.lianjia.com/ershoufang/107111249553.htm,0.35
12,12,5室3厅2厨5卫,低楼层 (共2层),南,620.15,复式,挂牌,2024-09-27,精装,无,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,53213,3300,https://sh.lianjia.com/ershoufang/107110915786.htm,0.35
13,13,4室2厅1厨3卫,低楼层 (共20层),南 北,214.33,平层,挂牌,2024-03-16,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,102646,2200,https://sh.lianjia.com/ershoufang/107109271722.htm,0.35
14,14,4室2厅1厨4卫,低楼层 (共20层),南,214.32,平层,挂牌,2024-05-17,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83427,1788,https://sh.lianjia.com/ershoufang/107109753159.htm,0.35
15,15,5室3厅1厨5卫,低楼层 (共2层),南,426,复式,挂牌,2024-10-30,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,79343,3380,https://sh.lianjia.com/ershoufang/107111203616.htm,0.35
16,16,2室2厅1厨1卫,低楼层 (共20层),南,91.41,平层,挂牌,2023-06-15,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,98458,900,https://sh.lianjia.com/ershoufang/107107355851.htm,0.35
17,17,4室2厅1厨2卫,中楼层 (共20层),南,208.12,平层,挂牌,2024-11-29,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,94177,1960,https://sh.lianjia.com/ershoufang/107111460877.htm,0.35
18,18,5室2厅1厨4卫,低楼层 (共2层),南,557.7,复式,挂牌,2024-10-31,精装,无,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,71724,4000,https://sh.lianjia.com/ershoufang/107111216954.htm,0.35
